Poster session,Poster board,Paper number,Presentation type,Primary topic,Title
Morning,120,61,poster,AI Safety,Two Refusals or One? Disentangling Safety and Epistemic Abstention Directions in Language Model Activations
Morning,121,137,poster,Benchmarking Interpretability,Are Sparse Autoencoder Benchmarks Reliable?
Morning,121,198,poster,Benchmarking Interpretability,"Building Fast, Evaluating Slow: Pipeline Choices Dominate Autointerpretability Score Variance"
Morning,122,199,poster,Benchmarking Interpretability,The Platonic Universe: Do Foundation Models See the Same Sky?
Morning,122,384,poster,Benchmarking Interpretability,Reasoning aligns language models to human inference
Morning,123,403,poster,Benchmarking Interpretability,Making LLMs Say What They Think: Measuring and Improving CoT-Interpretability Alignment
Morning,123,503,poster,Benchmarking Interpretability,Current Activation Oracles Are Hard to Use on Safety-Relevant Tasks
Morning,124,514,poster,Benchmarking Interpretability,Emergent Latent-State Computation under Stochastic Volatility
Morning,124,800,poster,Benchmarking Interpretability,Stress Tests REVEAL Fragile Temporal and Visual Grounding in Video-Language Models
Morning,125,318,spotlight,Benchmarking Interpretability,Validating Causal Abstraction Metrics on Simulated Complex Systems
Morning,125,603,spotlight,Benchmarking Interpretability,Surrogate Fidelity: When Can Open LLMs Explain Closed Ones?
Morning,126,21,poster,Circuit Analysis,Multi-Granular Node Pruning for Causal Circuit Discovery
Morning,126,590,fast track,Circuit Analysis,"Shared Semantics, Divergent Mechanisms: Unsupervised Feature Discovery by Aligning Semantics and Mechanisms"
Morning,200,90,poster,Circuit Analysis,LLMs Know They're Wrong and Agree Anyway: The Shared Sycophancy-Lying Circuit
Morning,200,148,poster,Circuit Analysis,A Mechanistic Study of Transformers Training Dynamics
Morning,201,193,poster,Circuit Analysis,Ghost Heads Across Training: When Greedy and Distributional Patching Disagree
Morning,201,212,poster,Circuit Analysis,Finding Interpretable Prompt-Specific Circuits in Language Models
Morning,202,353,poster,Circuit Analysis,Understanding the Effect of Model Compression on Mechanistic Interpretability in Transformer Language Models: A Short Review
